"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
92383,0,4,3.700,61.2
92389,1,4,3.800,81.1
92395,1,10,3.000,119.0
92420,2,10,1.4,159.0
92425,0,5,1.8,66.9
92430,0,3,"",18.5
92433,2,8,3.0,145.0
93200,0,6,"",55.4
93315,0,4,7.6,60.4
93357,0,4,6.000,59.3
93365,0,2,5.2,12.5
93379,2,2,2.4,54.0
93422,0,4,0.9,69.1
93460,0,5,3.800,78.6
93482,1,2,4.800,38.3
93483,0,4,5.8,68.4
93528,0,4,5.5,48.4
93532,0,5,2.8,77.6
93539,2,11,2.0,141.0
93541,2,12,5.800,76.7
94498,0,4,4.100,51.1
100633,0,4,3.8,48.7
104770,0,3,1.5,57.2
104926,0,5,6.200,59.3
105010,1,3,4.6,58.6
107646,0,6,1.5,115.0
107720,0,11,4.8,107.0
107901,0,4,3.2,43.2
108581,0,2,4.3,26.3
114850,0,2,1.0,38.4
115196,4,6,4.8,107.0
115224,0,4,2.2,77.6
119435,1,3,3.400,46.5
119653,1,3,2.4,55.0
122087,1,2,4.3,46.2
123377,1,1,4.400,20.2
123626,3,7,1.8,104.0
123627,1,5,3.3,70.0
127394,1,6,3.800,88.9
151080,0,0,1.0,0.0
152031,2,3,1.600,67.4
153847,1,1,4.5,29.1
153920,2,4,1.0,91.0
153974,0,5,5.4,30.8
157722,1,4,3.6,57.6
158076,1,3,3.200,50.9
158924,0,2,7.5,26.3
162117,0,9,"",185.0
162381,0,3,6.100,39.4
167454,0,2,3.900,29.5
170012,6,7,-5.2,213.0
170354,2,13,1.9,167.0
173964,0,2,2.5,45.6
175967,0,7,0.7,140.0
176648,0,3,3.400,46.6
176879,2,4,4.2,59.6
177355,1,8,2.000,143.0
177861,1,3,4.5,74.7
177863,0,4,5.9,52.6
178368,3,4,-3.8,83.6
178565,2,3,3.7,67.4
178795,1,6,3.600,81.5
180089,0,6,4.8,68.6
182951,0,8,4.8,62.6
185588,1,3,3.100,46.5
188694,0,7,4.200,49.2
194454,1,2,2.4,37.3
195429,0,5,2.9,93.5
197225,1,5,3.1,70.0
210326,0,5,4.6,59.1
213012,2,4,1.6,76.2
213013,1,2,4.9,42.0
213016,0,9,4.9,69.5
213021,0,3,1.4,52.3
213031,2,2,4.4,49.3
213032,1,5,5.0,67.9
222548,0,0,4.5,0.0
285670,0,2,1.0,38.4
312440,2,3,1.700,70.7
439306,11,16,-5.8,269.0
439551,3,6,0.200,104.0
439570,0,1,2.4,17.1
441071,0,3,1.900,32.8
441871,6,12,-0.4,192.0
443029,0,3,2.9,45.1
443031,1,12,3.0,144.0
443046,0,7,6.100,59.3
443048,0,6,4.8,72.9
443055,4,6,4.8,107.0
443067,2,3,1.600,67.4
443495,0,2,"",40.1
443629,12,14,-6.3,253.0
445639,1,2,6.500,37.3
448979,1,8,4.2,68.6
449402,1,1,4.5,29.1
455149,11,16,-5.8,269.0
516871,0,2,"",24.8
516872,0,2,"",24.8
516875,0,4,"",74.3
516892,1,3,"",60.4
516893,1,3,"",60.4
517065,0,7,"",118.0
517111,2,3,"",65.2
517165,1,2,"",41.1
522636,3,6,0.200,104.0
546164,0,2,3.4,26.3
546977,1,0,"",0.0
560193,1,6,0.3,115.0
560256,0,2,"",36.3
571084,0,6,4.7,66.4
616765,1,3,3.200,50.9
637511,0,1,1.900,17.1
637563,0,1,3.300,9.2
637566,1,1,2.9,20.2
638011,0,1,3.0,17.1
656671,0,6,"",125.0
688597,3,5,0.7,86.7
697993,1,2,2.400,69.4
969491,0,1,3.7,12.5
1549108,1,1,4.8,20.2
1617113,0,6,4.300,70.5
1747818,0,2,4.4,26.3
1787910,1,1,3.9,20.2
1794807,0,2,4.3,26.3
1794808,0,2,4.3,26.3
2723790,2,1,-0.8,84.1
2723816,0,2,"",40.1
2723872,5,6,-2.8,110.0
2724247,0,2,"",40.1
2734819,1,1,1.400,58.1
2804318,1,4,3.0,83.1
3000605,4,4,1.2,90.2
3001858,2,2,0.7,45.1
3014032,0,2,6.3,12.5
3015768,1,2,1.900,52.3
3017748,0,4,"",78.1
3032296,2,4,"",90.2
3032297,2,4,"",90.2
3032472,1,7,3.700,90.4
3032555,0,4,"",71.9
3032571,2,4,"",90.2
3032572,4,4,1.7,90.2
3032581,2,4,"",90.2
3032604,0,5,1.3,65.1
3032791,4,6,2.6,165.0
3032792,4,6,3.3,165.0
3033865,0,4,5.1,57.0
3034198,0,4,"",59.4
3034285,0,8,3.7,104.0
3034287,1,5,2.4,74.0
3034368,4,8,"",181.0
3034378,0,4,2.7,61.0
3034380,2,2,6.000,65.4
3034435,0,6,1.900,86.1
3037186,4,8,"",181.0
3081363,0,4,4.4,68.6
3083545,0,7,4.9,44.1
3086172,0,4,6.000,59.3
3294375,1,7,4.9,51.2
3317081,0,4,3.2,43.2
3391107,0,3,5.1,22.1
3423265,0,4,"",74.8
3482402,0,2,2.4,29.5
3485262,0,4,"",72.7
3566770,0,2,0.9,36.3
3623881,2,9,2.5,146.0
4131668,2,6,2.5,90.2
4228010,2,4,1.2,90.2
4403158,2,4,"",66.2
4408229,2,3,2.5,82.3
4560140,1,3,4.5,74.7
5280793,1,1,7.4,20.2
5280795,1,1,7.9,20.2
5281162,0,2,4.0,26.3
5281166,1,3,1.6,54.4
5281303,3,16,-0.6,215.0
5281872,0,5,6.000,26.3
5281873,0,7,6.100,59.3
5281874,0,9,5.4,26.3
5281875,2,8,6.4,48.8
5283292,1,1,3.1,20.2
5283295,1,1,4.2,20.2
5283305,1,1,6.4,20.2
5284376,0,2,3.6,45.6
5284389,0,6,6.0,118.0
5284462,0,4,3.500,44.8
5284484,2,4,"",90.2
5284507,1,1,4.6,20.2
5353758,1,4,0.600,76.0
5355863,0,6,1.200,71.1
5360460,0,6,4.400,95.9
5360521,1,4,0.600,76.0
5360962,1,4,1.2,76.0
5361043,1,4,2.2,76.0
5361250,2,5,0.7,104.0
5362131,0,3,2.500,34.5
5362527,1,5,-0.1,93.2
5362811,1,1,2.6,20.2
5363095,0,2,3.7,26.3
5363216,0,2,7.5,26.3
5363233,0,1,3.4,17.1
5363237,0,2,4.8,26.3
5363260,0,2,7.5,26.3
5363261,0,2,7.5,26.3
5363351,1,1,2.700,20.2
5363377,0,2,4.8,26.3
5363381,0,2,4.8,26.3
5363387,0,2,4.8,26.3
5363405,0,2,4.8,26.3
5363527,0,2,4.8,26.3
5363548,0,2,4.8,26.3
5364079,2,5,0.7,104.0
5364468,0,1,5.0,17.1
5364495,0,1,6.1,17.1
5364497,0,1,7.2,17.1
5364643,0,1,6.1,17.1
5364711,0,2,6.9,26.3
5364714,0,2,5.9,26.3
5364932,1,4,2.2,76.0
5365075,0,0,11.7,0.0
5366546,0,3,5.500,35.5
5367650,0,2,5.9,26.3
5367692,0,2,5.9,26.3
5368008,1,4,1.2,76.0
5369793,0,6,4.7,66.4
5371455,0,2,4.0,26.3
5371560,0,5,0.000,65.1
5371562,1,5,-0.200,73.9
5372194,0,10,6.4,65.6
5372405,1,6,2.8,88.9
5372582,0,6,1.000,98.5
5377784,0,4,3.100,44.8
5377791,0,4,3.100,44.8
5463781,0,4,3.9,48.0
5483846,2,6,6.100,79.8
5483847,1,6,3.4,68.6
5483872,1,4,3.2,59.9
5485188,0,6,1.5,115.0
5486793,3,7,1.8,104.0
5493321,0,9,4.9,69.5
5497163,0,6,22.4,78.9
5748526,1,4,2.900,57.6
5821911,0,6,1.5,115.0
5842000,0,4,3.500,44.8
5851439,0,4,4.5,63.7
5889665,0,4,3.9,48.0
6023583,0,3,2.500,34.5
6035168,0,6,4.7,66.4
6089962,0,10,6.4,65.6
6097028,2,4,"",90.6
6100711,2,4,"",90.2
6112114,0,5,4.1,57.1
6125184,3,7,1.8,104.0
6165177,0,9,1.700,160.0
6327054,1,1,"",1.0
6327657,1,1,"",1.0
6328134,1,3,0.0,46.5
6336603,0,3,"",57.2
6386307,0,9,1.700,160.0
6422843,0,5,4.1,65.8
6431341,1,1,5.600,20.2
6432198,1,1,2.3,32.3
6433329,0,4,2.400,44.8
6434236,0,2,6.0,26.3
